"Server IP","Server Group","Server Group Mode","Hostname"
"200.152.45.131","01 - RFB - WWW2SP","Active","rgrcred.dataprev.gov.br"
"200.152.45.138","01 - RFB - WWW2SP","Active","www2sp.dataprev.gov.br"
"200.152.45.125","21 - HOMOLOGAÇÃO - LEARNING","Simulation","hsncm.dataprev.gov.br"
"200.152.45.27","21 - HOMOLOGAÇÃO - LEARNING","Simulation","vip-haplmte1.dataprev.gov.br"
"200.152.45.120","21 - HOMOLOGAÇÃO - LEARNING","Simulation","200.152.45.120"
"200.152.45.133","21 - HOMOLOGAÇÃO - LEARNING","Simulation","hgeridpgfn.dataprev.gov.br"
"200.152.45.129","01 - RFB - WWW2SP","Active","cnd.dataprev.gov.br"
"200.152.45.45","04 - Aplicacoes Dataprev - RIE","Active","pmktplace.dataprev.gov.br"
"200.152.45.41","04 - Aplicacoes Dataprev - RIE","Active","alm.dataprev.gov.br"
"200.152.45.38","04 - Aplicacoes Dataprev - RIE","Active","200.152.45.38"
"200.152.45.139","10 - Serviços de Autenticação","Active","geridpgfn.dataprev.gov.br"
"200.152.45.135","10 - Serviços de Autenticação","Active","pgfn.gerid.dataprev.gov.br"
"200.152.45.70","08 - BI MTE DARDO","Active","200.152.45.70"
"200.152.45.69","09 - BI MTE WEB FOCUS","Active","200.152.45.69"
"200.152.45.68","09 - BI MTE WEB FOCUS","Active","pportaltransparenciasdmte.dataprev.gov.br"
"200.152.45.202","11 - INSS - Bases de Gestao","Active","vip-portalinsssp.dataprev.gov.br"
"200.152.45.195","11 - INSS - Bases de Gestao","Active","dadospublicos.inss.gov.br"
"200.152.45.128","10 - Serviços de Autenticação","Active","rfb.gerid.dataprev.gov.br"
"200.152.45.37","16 - Prisma Tele Trabalho","Active","prismaweb.inss.gov.br"
"200.152.45.90","09 - BI MTE WEB FOCUS","Active","200.152.45.90"
"200.152.45.17","07 - MPA - ANVISA","Active","200.152.45.17"
"200.152.45.132","03 - RFB - REFIS","Active","trf3.dataprev.gov.br"
"200.152.45.140","03 - RFB - REFIS","Active","refisprod.dataprev.gov.br"
"200.152.45.130","03 - RFB - REFIS","Active","refis.dataprev.gov.br"
"200.152.45.50","11 - INSS - Bases de Gestao","Active","gestaocomprev.dataprev.gov.br"
"200.152.45.209","06 - MPS","Active","200.152.45.209"
