"Policy Name","Rule Followed Action","Rule Action","Rule Name"
"Adobe ColdFusion Administrator Access Restriction","Dataprev_ELK","Block","Custom Violation"
"CVE-2014-1637: CSSMS Disclose DB Backup","Dataprev_ELK","Block","Custom Violation"
"MSSQL Data Leakage through Errors","Dataprev_ELK","Block","Custom Violation"
"CVE-2012-0694: SugarCRM Unserialize PHP Code Execution","Dataprev_ELK","Block","Custom Violation"
"CVE-2015-6000: vTiger CRM Unauthorized File Upload","Dataprev_ELK","Block","Custom Violation"
"CVE-2015-6928: CubeCart Information Disclosure","Dataprev_ELK","Block","Custom Violation"
"Fullwidth/Halfwidth Unicode Decoding","Dataprev_ELK","Block","Custom Violation"
"Data Leakage - Diner's Club / Carte Blanche Credit Card Numbers","Dataprev_ELK","Block","Custom Violation"
"CVE-2012-1670: PHP Grade Book Unauthenticated SQL Database Export","Dataprev_ELK","Block","Custom Violation"
"INJ-18148: WebCalendar Pre-Auth Remote Code Injection","Dataprev_ELK","Block","Custom Violation"
"ThreatRadar - Malicious IPs","Block_2h_SIEM","Block","Custom Violation"
"ThreatRadar - Emergency - Detection","Dataprev_ELK","Block","Custom Violation"
"ThreatRadar - Emergency - GET Requests","Dataprev_ELK","Block","Custom Violation"
"ThreatRadar - Bot Protection - Allow Browsers Only 1","Dataprev_ELK","Block","Custom Violation"
"CVE-2014-8949: WordPress Remote Command Execution","Dataprev_ELK","Block","Custom Violation"
"CVE-2015-1456: Fortinet Admin Access","Dataprev_ELK","Block","Custom Violation"
"ATO - Device Intelligence High Risk Login Enforcement","Dataprev_ELK","Block","Custom Violation"
"CVE-2014-1908: WordPress Information Disclosure in Error Message - 2","Dataprev_ELK","Block","Custom Violation"
"CVE-2016-4010: Magento PHP code execution","Dataprev_ELK","Block","Custom Violation"
"Magento Unauthorized File Upload","Dataprev_ELK","Block","Custom Violation"
"ATO - Credential Stuffing Enforcement","Dataprev_ELK","Block","Custom Violation"
"CVE-2013-6448 - JBoss Web Framework Kit","Dataprev_ELK","Block","Custom Violation"
"CPF Invalido","Dataprev_ELK","Block","Custom Violation"
"Dataprev_SOM_Block_UserAgent","Block_2horas","Block","Custom Violation"
"Cookie Crafted","Block_48h","Block","Custom Violation"
"Dataprev_CNISNET_Automatizado_BR","Dataprev_ELK","Block","Custom Violation"
"Bloqueia txtImagem=****","Long IP Block","Block","Custom Violation"
"Dataprev_CNISNET_Block_Automatizado","Block_2horas","Block","Custom Violation"
"Dataprev_ProxyMeuINSS_SagService_Automatizado","Dataprev_ELK","Block","Custom Violation"
"CVE-2018-19127: PHPCMS /type.php Cache Filename Handling Template Parameter Remote Code Execution","Dataprev_ELK","Block","Custom Violation"
"VULNDB-213920: Wordpress Woocommerce plugin disclose arbitrary files","Dataprev_ELK","Block","Custom Violation"
"Dataprev_ConsultaCadastral_Block_Geo","Block_48h","Block","Custom Violation"
"Dataprev_CNDWEB_Block_Automatizado","Block_2horas","Block","Custom Violation"
"VULNDB-226371: Pandora FMS extension/net_tools.php Input Handling Remote Code Execution","Dataprev_ELK","Block","Custom Violation"
"VULNDB-226277: Rank Math SEO Plugin for WordPress rankmath/v1/updateMeta Missing Capability Check Remote Privilege Escalation","Dataprev_ELK","Block","Custom Violation"
"Dataprev_FAP_Block_Geolocation","Dataprev_ELK","Block","Custom Violation"
"Dataprev_PortalCNIS_Block_Automatizado","Block_HTTP.Session_1h","Block","Custom Violation"
"Dataprev_SIAC_KBA_FORM_BLOCK","Block_2horas","Block","Custom Violation"
"Dataprev_GestaoTarefasINSS_Block_Aut_Hora","Block_4h","Block","Custom Violation"
"Dataprev_Captura_MEUISNSS_Autentica","Dataprev_ELK","None","Custom Violation"
"CVE-2020-8195: Citrix Multiple Products Unspecified Information Disclosure","","Block","Custom Violation"
"CVE-2020-13794: Harbor /api/users/search username Parameter Remote Username Enumeration","","Block","Custom Violation"
"CVE-2018-20243: Apache Fineract Cleartext URL Credential Disclosure","","Block","Custom Violation"
"Dataprev_CVE-2020–14882_Block","Dataprev_ELK","Block","Custom Violation"
"Dataprev_ConsultasINSS_Block_Automatizado_Noite","Block_2horas","Block","Custom Violation"
"HTTP/2 Protocol Policy","Dataprev_ELK","Block","Double URL Encoding"
"OCSP Protocol Policy","","None","Too many queries within a Request"
"Bloqueia_RDM40078","","Block","Monitoracao_RDM40078"
"Network Protocol Violations Policy","","None","IP - Bad Total Length"
"HTTP/1.x Protocol Policy","Dataprev_ELK","None","Too Many Headers per Response"
"HTTP/2 Protocol Policy","Dataprev_ELK","Block","Extremely Long Parameter"
"HTTP/1.x Protocol Policy","Dataprev_ELK","None","NULL Character in Parameter Value"
"Network Protocol Violations Policy","","None","IP - Bad Fragment"
"Recommended Policy for Web Applications - Legacy","Dataprev_ELK","Block","Worms and Critical Vulnerabilities for Web Applications"
"Web Profile Policy","Dataprev_ELK","None","Parameter Read Only Violation"
"HTTP/1.x Protocol Policy","Dataprev_ELK","None","Illegal URL Path Encoding"
"HTTP/1.x Protocol Policy","Dataprev_ELK","None","NULL Character in Parameter Name"
"HTTP/2 Protocol Policy","","Block","Illegal value for maximum allowed frame size"
"Network Protocol Violations Policy","","None","IP - Micro-Fragment"
"ThreatRadar - Emergency - Authenticated Sessions Signatures","Dataprev_ELK","Block","ThreatRadar - Emergency - Authenticated Sessions"
"HTTP/2 Protocol Policy","Dataprev_ELK","Block","Slow HTTPS from a Single Source"
"HTTP/2 Protocol Policy","Dataprev_ELK","Block","Slow HTTPS from Multiple Sources"
"HTTP/2 Protocol Policy","Dataprev_ELK","Block","Slow HTTP from a Single Source"
"ThreatRadar - Emergency - General Signatures","Dataprev_ELK","Block","ThreatRadar - Emergency - General"
"HTTP/1.x Protocol Policy","Dataprev_ELK","Block","Too Many URL Parameters"
"HTTP/1.x Protocol Policy","Dataprev_ELK","Block","Slow HTTP from a Single Source"
"OCSP Protocol Policy","","Block","Invalid Request Structure"
"Network Protocol Violations Policy","","None","UDP - Micro-Fragment"
"Recommended Signatures Policy for Web Applications","Dataprev_ELK","Block","Worms and Critical Vulnerabilities for Web Applications"
"HTTP/2 Protocol Policy","","Block","Invalid connection preface"
"Network Protocol Violations Policy","","None","Bad TCP Option Padding"
"Network Protocol Violations Policy","","None","Invalid IP Flags"
"HTTP/1.x Protocol Policy","Dataprev_ELK","Block","Illegal Host Name"
"CVE-2013-6492: Piranha Authentication Bypass","Dataprev_ELK","Block","Custom Violation"
"CVE-2013-2301: OrbiTeam BCSW Information Disclosure","Dataprev_ELK","Block","Custom Violation"
"CVE-2014-3139: Unitrends Authentication Bypass","Dataprev_ELK","Block","Custom Violation"
"WordPress WPtouch Unauthorized File Upload","Dataprev_ELK","Block","Custom Violation"
"Suspicious Response Code","Dataprev_ELK","None","Custom Violation"
"IIS Code Upload","Dataprev_ELK","Block","Custom Violation"
"CVE-2010-3332: ASP Parameter Padding Oracle Brute Force","Dataprev_ELK_SIEM","Block","Custom Violation"
"CVE-2012-4926: ImgPals Photo Host Admin Account Disactivation","Dataprev_ELK","Block","Custom Violation"
"BitTorrent DDoS","Dataprev_ELK","Block","Custom Violation"
"Wordpress XML-RPC System Multicall","Dataprev_ELK","Block","Custom Violation"
"CVE-2015-7339: JCE Joomla Unauthorized File Upload","Dataprev_ELK","Block","Custom Violation"
"Data Leakage - Visa, Short Credit Card Numbers","Dataprev_ELK","Block","Custom Violation"
"Data Leakage - American Express Credit Card Numbers","Dataprev_ELK","Block","Custom Violation"
"ThreatRadar - Emergency - General","Dataprev_ELK","Block","Custom Violation"
"WEB-FRONTPAGE- External Access to Internal Information","Dataprev_ELK","None","Custom Violation"
"Directory Traversal (In URL) - Basic Rule","Dataprev_ELK","None","Custom Violation"
"CVE-2014-4725: WordPress MailPoet Unauthorized File Upload","Dataprev_ELK","Block","Custom Violation"
"CVE-2015-1371: FerretCMS File Upload","Dataprev_ELK","Block","Custom Violation"
"CVE-2014-9579: VDG Security Sense Configuration Disclosure","Dataprev_ELK","Block","Custom Violation"
"Wordpress 'Shortcodes Ultimate' plugin code execution","Dataprev_ELK","Block","Custom Violation"
"ATO - Privileged Account Brute force Enforcement","Dataprev_ELK","Block","ATO Custom Violation"
"CVE-2014-100009: Wordpress JS MultiHotel Full Path Disclosure","Dataprev_ELK","Block","Custom Violation"
"WordPress Content Injection","Dataprev_ELK","Block","Custom Violation"
"Suspicious File Extension Access","Dataprev_ELK","Block","Custom Violation"
"CVE-2017-6070: CMS Made Simple Authorization Bypass Vulnerabilities","Dataprev_ELK","Block","Custom Violation"
"ATO - Credential Stuffing + Bot Enforcement","Short IP Block","Block","Custom Violation"
"Dataprev_SOM_BlackList_Customizada_APP","Block_2horas","Block","Custom Violation"
"Dataprev_SABI_Automatizado_BR","Block_4h","Block","Custom Violation"
"Dataprev_WWW2_URL_desativadas","Dataprev_ELK","Block","Custom Violation"
"VULNDB-209646: GigToDo Language","Dataprev_ELK","Block","Custom Violation"
"Dataprev_ProxyMeuINSS_SagService_Block_bot_Geo","Block_2horas","Block","Custom Violation"
"Dataprev_Monitor_W3B2_ConsigWeb","Dataprev_ELK","None","Custom Violation"
"Dataprev_Block_W3B2_ConsigWeb","Dataprev_ELK","Block","Custom Violation"
"Dataprev_SOM_Vul_Scanner","Block_7_dias","Block","Custom Violation"
