"network","Descrição","Seção"
"10.144.12.0/24","RIE 1 - RFB Apresentação","Clientes (Clientes)"
"10.144.13.0/24","RIE 2 - RFB Apresentação 2","Clientes (Clientes)"
"10.146.12.0/24","RII 1 - RFB Aplicação","Clientes (Clientes)"
"10.146.13.0/24","RII 2 - RFB Apresentação","Clientes (Clientes)"
"10.146.14.0/24","RII 3 - RFB Aplicação 2","Clientes (Clientes)"
"10.146.15.0/24","VIPs - RII - RFB","Clientes (Clientes)"
"10.148.12.0/24","RI - RFB - Banco","Clientes (Clientes)"
"10.16.22.0/24","RII - COMUM LEGADA - Homologação e Testes","Clientes (Clientes)"
"10.16.27.0/24","RII - COMUM LEGADA - Homologação e Testes","Clientes (Clientes)"
"10.16.23.0/24","RII - COMUM LEGADA - Homologação e Testes","Clientes (Clientes)"
"10.31.14.0/24","RI - COMUM LEGADA - Backup","Clientes (Clientes)"
"10.31.24.0/22","RII - COMUM LEGADA - Backup 2","Clientes (Clientes)"
"10.31.4.0/23","RII - COMUM LEGADA - Backup","Clientes (Clientes)"
"10.151.28.0/22","RIE - COMUM SEGREGADA - Backup","Clientes (Clientes)"
"10.31.2.0/23","RII - COMUM LEGADA - Gerência","Clientes (Clientes)"
"10.148.16.0/24","RI - Dataprev - Banco","Clientes (Clientes)"
"10.146.16.0/24","RII - Dataprev - Apresentação","Clientes (Clientes)"
"10.146.17.0/24","RII - Dataprev - Aplicação","Clientes (Clientes)"
"10.144.16.0/24","RIE - Dataprev - Apresentação","Clientes (Clientes)"
"10.146.18.0/24","RII - Dataprev - Aplicação 2","Clientes (Clientes)"
"10.146.23.0/24","Vips - RII - Dataprev","Clientes (Clientes)"
"10.148.8.0/24","RI - MTE - Banco","Clientes (Clientes)"
"10.148.1.0/24","RI - COMUM SEGREGADA - Gerência Exadata","Clientes (Clientes)"
"10.144.8.0/24","RIE - MTE - Apresentação","Clientes (Clientes)"
"10.146.8.0/24","RII - MTE - Aplicação","Clientes (Clientes)"
"10.146.9.0/24","RII - MTE - Apresentação","Clientes (Clientes)"
"10.146.11.0/24","Vips - RII - MTE","Clientes (Clientes)"
"10.144.32.0/24","RIE - INSS - Apresentação","Clientes (Clientes)"
"10.144.33.0/24","RIE - INSS - Apresentação 2","Clientes (Clientes)"
"10.144.34.0/24","RIE - INSS - Apresentação 3","Clientes (Clientes)"
"10.148.32.0/24","RI - INSS - Banco","Clientes (Clientes)"
"10.146.32.0/24","RII - INSS - Aplicação","Clientes (Clientes)"
"10.146.33.0/24","RII - INSS - Apresentação","Clientes (Clientes)"
"10.146.34.0/24","RII - INSS - Aplicação 2","Clientes (Clientes)"
"10.146.63.0/24","Vips - RII - INSS","Clientes (Clientes)"
"10.144.0.0/24","RIE - COMUM SEGREGADA","Clientes (Clientes)"
"10.144.1.0/24","RIE - COMUM SEGREGADA - Apresentação","Clientes (Clientes)"
