"network","Descrição","VLAN","Sub-rede Mestre"
"10.144.108.0/24"," RIE - ANVISA - Apresentação","3101"," ANVISA"
"10.144.109.0/24"," RIE - ANVISA - Apresentação 2","3102"," ANVISA"
"10.146.108.0/24"," RII - ANVISA - Aplicação","3103"," ANVISA"
"10.146.109.0/24"," RII - ANVISA - Apresentação","3104"," ANVISA"
"10.146.110.0/24"," RII - ANVISA - Aplicação 2","3105"," ANVISA"
"10.146.111.0/24"," Vips - RII - ANVISA",""," ANVISA"
"10.148.108.0/24"," RI - ANVISA - Banco","3106"," ANVISA"
"10.144.64.0/22"," RIE - CLOUD - 1 - Vip Interno","3655"," CLOUD  - 1"
"10.144.68.0/24"," RIE - CLOUD - 1 - Reserva",""," CLOUD  - 1"
"10.144.88.0/21"," RIE - CLOUD - 1 - Vxlan","3650"," CLOUD  - 1"
"10.146.64.0/21"," RII - CLOUD - 1 - Vmotion","3651"," CLOUD  - 1"
"10.146.72.0/21"," RII - CLOUD - 1 - Fault Tolerance","3652"," CLOUD  - 1"
"10.146.80.0/20"," RII - CLOUD - 1 - Vsphere Replication","3653"," CLOUD  - 1"
"10.148.64.0/19"," RI - CLOUD - 1 - Gerencia das VMs e Hospedeiros","3080"," CLOUD  - 1"
"10.148.227.0/24"," vlan de gerência","3674"," Cluster de Computing e Edge"
"10.148.228.0/22"," vXLan Transport","3675"," Cluster de Computing e Edge"
"10.148.232.0/23"," vlan de vMotion","3676"," Cluster de Computing e Edge"
"10.148.224.0/24"," Gerência","3670"," Cluster de gerência"
"10.148.225.0/24"," vMotion ","3671"," Cluster de gerência"
"10.148.226.0/24"," vMotion","3672"," Cluster de gerência"
"10.132.224.0/20"," REDE DCRJ",""," CLOUD DCV GER"
"10.140.224.0/20"," REDE DCDF",""," CLOUD DCV GER"
"10.192.0.0/13"," DCV GER Dados",""," CLOUD DCV REC"
"10.254.253.0/27"," Rede passagem FW Externo ","3953"," CLOUD DCV REC"
"10.254.253.32/27"," Rede passagem FW Interno ","3955"," CLOUD DCV REC"
"10.254.253.64/27"," Rede passagem EDGES-CORE1","3956"," CLOUD DCV REC"
"10.254.253.96/27"," Rede passagem EDGES-CORE2","3957"," CLOUD DCV REC"
"10.144.128.0/24"," RIE - CLOUD GOV - Gerência","3813"," CLOUD GOV"
"10.144.129.0/24"," RIE - CLOUD GOV - Replicação","3814"," CLOUD GOV"
"10.144.130.0/24"," RIE - CLOUD GOV - Replicação 2","3815"," CLOUD GOV"
"10.144.131.0/24"," RIE - CLOUD-GOV - DLR",""," CLOUD GOV"
"10.144.132.0/22"," RIE - CLOUD GOV - Vmotion","3817"," CLOUD GOV"
"10.144.136.0/22"," RIE - CLOUD GOV - Vxlan Gerência","3818"," CLOUD GOV"
"10.144.140.0/22"," RIE - CLOUD GOV - Vxlan Recursos","3820"," CLOUD GOV"
"10.144.144.0/24"," RIE - CLOUD GOV - Vxlan VCD","3821"," CLOUD GOV"
"10.144.176.0/21"," RIE -CLOUD GOV 2 - Vip interno","3119"," CLOUD GOV 2"
"10.168.0.0/19"," Vips - RII - CLOUD OURO","3665"," OURO"
"10.168.128.0/23"," RIE - CLOUD OURO - VxLan","3660"," OURO"
"10.31.4.0/23"," RII - COMUM LEGADA - Backup","104"," BACKUP"
"10.31.14.0/24"," RI - COMUM LEGADA - Backup","114"," BACKUP"
"10.31.24.0/22"," RII - COMUM LEGADA - Backup 2","124"," BACKUP"
"10.31.48.0/20"," RII - COMUM LEGADA - Backup 3","148"," BACKUP"
"10.31.80.0/20"," RI - COMUM LEGADA - Backup 2","180"," BACKUP"
"10.16.0.0/23"," RII - COMUM LEGADA - Rede de Servidores","600"," DADOS"
"10.16.2.0/23"," RI - COMUM LEGADA - MV2/SABI","602"," DADOS"
"10.16.9.16/28"," RII - COMUM LEGADA - Serviços de Rede (Serviço TACACS e Radius)","690"," DADOS"
"10.16.9.208/28"," RII - COMUM LEGADA - LDAP-Prevnet-Samba","609"," DADOS"
"10.16.11.0/24"," RII - COMUM LEGADA - LDAP-Prevnet","611"," DADOS"
"10.16.12.0/24"," RII - COMUM LEGADA - Monitoracao NSM-CA","612"," DADOS"
"10.16.13.16/28"," RII - COMUM LEGADA - Serviços de Rede (Serviço DNS em Cluster)","691"," DADOS"
"10.16.18.0/23"," RII - COMUM LEGADA - Apresentação","618"," DADOS"
"10.16.21.0/24"," RII - COMUM LEGADA - Aplicação","621"," DADOS"
"10.16.22.0/24"," RII - COMUM LEGADA - Homologação e Testes","622"," DADOS"
"10.16.23.0/24"," RII - COMUM LEGADA - Homologação e Testes","623"," DADOS"
"10.16.24.0/24"," RII - COMUM LEGADA - Banco SAA","624"," DADOS"
"10.16.25.0/24"," RII - COMUM LEGADA - Aplicação SAA","625"," DADOS"
