"Sub-Rede","Descrição","Sub-rede Mestre","Dispositivo","Detalhes"
"10.128.25.0/24","  10.128.25.0/24","/","/","Acesso IP WAN ( UF 27 SC )"
"10.128.25.28/30","  10.128.25.28/30"," 10.128.25.0/24","/","Auditoria Regional de Florianópolis / Ger. Regional Sul / SC."
"10.16.48.0/24"," Rede Loopback EE","/","DRTSPMV010",""
"10.125.11.0/24"," Rede Loopback Acesso SP","/","/",""
"10.125.12.0/24"," Rede Loopback Acesso SP","/","/",""
"10.125.48.0/24"," Rede Loopback Acesso SC","/","/",""
"172.19.8.0/24"," EE IP CONNECT","/","/",""
"172.29.20.0/24"," EE IP WAN","/","DRTSPMV010",""
"172.29.20.68/30"," SECRETARIA DA ADMINISTRAÇÃO PENITENCIÁRIA - SÃO PAULO/SP","172.29.20.0/24","/","RQS 1704052/2020"
"172.29.20.72/30"," BANCO FICSA","172.29.20.0/24","/",""
"172.29.20.76/30"," BANCO MAXIMA","172.29.20.0/24","/",""
"172.29.20.80/30"," BANCO AGIBANK","172.29.20.0/24","/",""
"172.29.20.84/30"," BANCO SEGURO","172.29.20.0/24","/",""
"172.29.20.88/30"," BANCO C6","172.29.20.0/24","/",""
"172.29.20.92/30"," BANCO-CIP","172.29.20.0/24","/","RDM 1356000/2019"
"172.29.20.96/30"," BANCO SANTANDER CAMPINAS","172.29.20.0/24","/",""
"172.29.20.100/30"," TOTVS-EE","172.29.20.0/24","/",""
"172.29.20.104/30"," CEF-EE","172.29.20.0/24","/",""
"172.29.20.108/30"," JEF-CAPITAL-EE","172.29.20.0/24","/",""
"172.29.20.112/30"," BANCO_SAFRA","172.29.20.0/24","/",""
"172.29.20.116/30"," TRF-3-EE","172.29.20.0/24","/",""
"172.29.20.120/30"," BANCO_BRADESCO","172.29.20.0/24","/","SPL3000244 - Cidade de DEUS - Osasco - SP"
"172.29.20.124/30"," BANCO_ITAÚ-CEIC","172.29.20.0/24","/","SPL3000250"
"172.29.20.128/30"," BANCO RURAL-EE","172.29.20.0/24","/",""
"172.29.20.132/30"," SERPRO-2MB-EE","172.29.20.0/24","/",""
"172.29.20.136/30"," SERPRO-200MB-EE","172.29.20.0/24","/",""
"172.29.20.140/30"," BANCO-DO-BRASIL","172.29.20.0/24","/",""
"172.29.20.144/30"," DRTSPMV010-EE-WAN","172.29.20.0/24","DRTSPMV010",""
"172.29.20.148/30"," BANCO BVA","172.29.20.0/24","/",""
"172.29.20.152/30"," BANCO ITAÚ BANCRED","172.29.20.0/24","/",""
"172.29.20.156/30"," BANCO ITAÚ BMG","172.29.20.0/24","/",""
"172.29.20.160/30"," BANCO IBI","172.29.20.0/24","/",""
"172.29.20.164/30"," BANCO CIFRA","172.29.20.0/24","/",""
"172.29.20.168/30"," CITIBANK-EE","172.29.20.0/24","/",""
"172.29.20.172/30"," BANCO CCB BRASIL (Ex-SULFINANCEIRA)","172.29.20.0/24","/",""
"172.29.20.176/30"," BANCO PINE","172.29.20.0/24","/",""
"172.29.20.180/30"," BANCO_CBSS","172.29.20.0/24","/","RQS 1355994/2019"
"172.29.20.184/30"," BANCO ITAU-BMG-NOVO","172.29.20.0/24","/",""
"172.29.20.188/30"," BANCO RENNER","172.29.20.0/24","/",""
"172.29.20.192/30"," BANCO VOTORANTIM - AV NAÇÕES UNIDAS","172.29.20.0/24","/",""
"172.29.20.196/30"," BANCO ITAU-CTO","172.29.20.0/24","/",""
"172.29.20.200/30"," BANCO PAN","172.29.20.0/24","/",""
"172.29.20.204/30"," BANCO DAYCOVAL","172.29.20.0/24","/",""
"172.29.20.208/30"," BANCO ALFA","172.29.20.0/24","/",""
"172.29.20.212/30"," BANCO BRADESCO principal (BMC1)","172.29.20.0/24","/",""
"172.29.20.216/30"," BANCO BRADESCO backup (BMC2)","172.29.20.0/24","/",""
"172.29.20.220/30"," BANCO INDUSTRIAL","172.29.20.0/24","/",""
"172.29.20.224/30"," BANCO_CETELEM/BGN","172.29.20.0/24","/",""
"172.29.20.228/30"," BANCO CREFISA","172.29.20.0/24","/",""
"172.29.20.232/30"," (Banco Original) ERA BANCO FICSA RDM 1312109/2019 - Devolução de IP","172.29.20.0/24","/",""
"172.29.20.236/30"," BANCO CARUANA","172.29.20.0/24","/",""
"172.29.20.240/30"," BANCO OLE-CONSIGNADO","172.29.20.0/24","/",""
"172.29.20.244/30"," BANCO_BMG / ITAU_CONSIGNADO","172.29.20.0/24","/",""
"172.29.20.248/30"," BRADESCO_FINANCIAMENTOS / BMC_BRADESCO","172.29.20.0/24","/","RQS 1313682/2019"
"172.29.20.252/30"," VALOR FINANCIAMENTOS","172.29.20.0/24","/","RQS 1344591/2019"
